日期,流程,端,包名,实际调用BVN/NIN人数,BVN调用人数,NIN调用人数,仅调用BVN人数,仅调用NIN人数,同时调用BVN和NIN人数,未调用BVN/NIN人数,BVN通过人数,BVN失败人数,NIN通过人数,NIN失败人数,请求人脸识别人数,请求人脸识别次数,最终人脸识别成功人数,最终人脸识别失败人数,人脸识别历史失败总次数,当前保留-人像不匹配次数,当前保留-请求接口失败次数,当前保留-三方接口错误次数,当前保留失败原因次数,成功后被清除的失败原因次数,最终成功用户的历史失败次数,非成功用户异常差值,每日触发人数
2026-08-04,提现触发,App,com.hfhy.waje.special,710,307,504,206,403,101,232,213,94,445,59,600,1383,440,55,283,175,0,11,186,97,97,0,942.0
2026-08-04,提现触发,H5,com.wajegame.web,322,189,233,89,133,100,62,97,92,187,46,278,706,201,27,164,97,0,0,97,67,67,0,384.0
2026-08-05,主动填写,App,com.hfhy.waje.special,351,157,228,123,194,34,965,86,71,172,56,172,474,65,34,134,107,0,2,109,25,25,0,
2026-08-05,主动填写,H5,com.wajegame.web,393,213,248,145,180,68,438,120,93,202,46,84,227,40,15,61,46,0,0,46,15,15,0,
2026-08-05,提现触发,App,com.hfhy.waje.special,866,398,587,279,468,119,244,281,117,521,66,733,1846,507,71,387,235,27,5,267,120,120,0,1110.0
2026-08-05,提现触发,H5,com.wajegame.web,437,250,290,147,187,103,83,149,101,239,51,380,1054,259,36,284,139,51,3,193,91,91,0,520.0
2026-08-06,主动填写,App,com.hfhy.waje.special,358,179,213,145,179,34,1003,112,67,165,48,184,560,77,42,174,132,0,3,135,39,39,0,
2026-08-06,主动填写,H5,com.wajegame.web,353,204,211,142,149,62,406,109,95,164,47,88,210,43,17,66,53,0,0,53,13,13,0,
2026-08-06,提现触发,App,com.hfhy.waje.special,865,399,597,268,466,131,239,266,133,529,68,738,1779,533,76,411,286,0,4,290,121,121,0,1104.0
2026-08-06,提现触发,H5,com.wajegame.web,399,246,247,152,153,94,55,146,100,199,48,336,913,233,38,216,132,0,4,136,80,80,0,454.0
2026-08-07,主动填写,App,com.hfhy.waje.special,342,162,207,135,180,27,1022,99,63,161,46,193,454,82,37,139,98,0,5,103,36,36,0,
2026-08-07,主动填写,H5,com.wajegame.web,245,116,171,74,129,42,361,61,55,139,32,87,265,36,23,90,76,0,0,76,14,14,0,
2026-08-07,提现触发,App,com.hfhy.waje.special,872,399,598,274,473,125,234,277,122,541,57,752,1746,551,70,404,246,16,6,268,136,136,0,1106.0
2026-08-07,提现触发,H5,com.wajegame.web,341,189,250,91,152,98,50,91,98,197,53,287,874,191,33,212,114,20,9,143,69,69,0,391.0
2026-08-08,主动填写,App,com.hfhy.waje.special,337,155,215,122,182,33,884,90,65,156,59,165,423,56,38,139,118,0,2,120,19,19,0,
2026-08-08,主动填写,H5,com.wajegame.web,252,122,182,70,130,52,325,46,76,153,29,83,242,31,24,97,83,0,0,83,14,14,0,
2026-08-08,提现触发,App,com.hfhy.waje.special,759,336,513,246,423,90,235,242,94,457,56,641,1472,483,53,311,181,0,8,189,122,122,0,994.0
2026-08-08,提现触发,H5,com.wajegame.web,295,161,219,76,134,85,51,76,85,179,40,247,703,156,41,221,164,8,3,175,46,46,0,346.0
2026-08-09,主动填写,App,com.hfhy.waje.special,311,144,204,107,167,37,951,95,49,156,48,154,385,67,26,124,81,0,1,82,42,42,0,
2026-08-09,主动填写,H5,com.wajegame.web,237,121,158,79,116,42,336,53,68,124,34,69,192,25,21,68,59,0,0,59,9,9,0,
2026-08-09,提现触发,App,com.hfhy.waje.special,835,378,567,268,457,110,243,274,104,504,63,724,1763,515,66,356,218,0,15,233,123,123,0,1078.0
2026-08-09,提现触发,H5,com.wajegame.web,296,176,189,107,120,69,60,106,70,166,23,271,759,189,30,200,101,14,2,117,83,83,0,356.0
2026-08-10,主动填写,App,com.hfhy.waje.special,362,155,229,133,207,22,881,92,63,173,56,171,427,77,36,124,103,0,8,111,13,13,0,
2026-08-10,主动填写,H5,com.wajegame.web,262,134,174,88,128,46,323,62,72,132,42,88,303,33,22,75,64,0,0,64,11,11,0,
2026-08-10,提现触发,App,com.hfhy.waje.special,796,365,543,253,431,112,230,250,115,450,93,661,1720,463,70,364,225,11,13,249,115,115,0,1026.0
2026-08-10,提现触发,H5,com.wajegame.web,269,146,187,82,123,64,44,79,67,159,28,237,746,157,29,169,90,0,2,92,77,77,0,313.0
2026-08-11,主动填写,App,com.hfhy.waje.special,353,191,200,153,162,38,963,110,81,138,62,177,411,66,46,147,128,1,0,129,18,18,0,
2026-08-11,主动填写,H5,com.wajegame.web,264,149,172,92,115,57,355,67,82,121,51,95,296,38,25,106,84,0,1,85,21,21,0,
2026-08-11,提现触发,App,com.hfhy.waje.special,830,390,556,274,440,116,199,288,102,486,70,688,1616,502,79,405,274,0,2,276,129,129,0,1029.0
2026-08-11,提现触发,H5,com.wajegame.web,328,169,227,101,159,68,55,97,72,193,34,286,781,194,32,176,108,0,7,115,61,61,0,383.0
2026-08-12,主动填写,App,com.hfhy.waje.special,448,216,274,174,232,42,1087,123,93,213,61,188,488,87,36,179,138,0,0,138,41,41,0,
2026-08-12,主动填写,H5,com.wajegame.web,411,226,271,140,185,86,461,120,106,221,50,106,263,49,12,67,44,0,0,44,23,23,0,
2026-08-12,提现触发,App,com.hfhy.waje.special,966,448,651,315,518,133,152,328,120,560,91,743,1727,571,57,338,186,0,10,196,142,142,0,1118.0
2026-08-12,提现触发,H5,com.wajegame.web,441,266,273,168,175,98,69,163,103,233,40,390,1108,270,49,244,155,24,6,185,59,59,0,510.0
2026-08-13,主动填写,App,com.hfhy.waje.special,390,180,252,138,210,42,1027,87,93,162,90,191,500,74,50,183,166,0,0,166,17,17,0,
